2020/05/30 04:05:48

,F1,F2,F3
2019/7/24,29.5,8,1
2019/7/25,29.6,8,1
2019/7/26,29.7,8,1
2019/7/27,29.9,8,1
2019/7/28,30.4,8,1
2019/7/29,29.6,8,1
2019/7/30,30.2,8,1
2019/7/31,30.5,8,1
2019/8/1,30.7,8,1
2019/8/2,30.5,8,1
2019/8/3,31.7,8,1
2019/8/4,30.7,8,1
2019/8/5,29.8,8,1
2019/8/6,26.9,8,1
2019/8/7,28.7,8,1
2019/8/8,30.0,8,1
2019/8/9,29.5,8,1
2019/8/10,30.9,8,1
2019/8/11,31.4,8,1
2019/8/12,31.4,8,1
2019/8/13,30.7,8,1
2019/8/14,29.3,8,1
2019/8/15,27.0,8,1
2019/8/16,29.3,8,1
2019/8/17,28.6,8,1
2019/8/18,27.7,8,1
2019/8/19,27.3,8,1
2019/8/20,26.6,8,1
2019/8/21,29.2,8,1
2019/8/22,29.1,8,1
2019/8/23,28.0,8,1
2019/8/24,24.8,8,1
2019/8/25,22.1,8,1
2019/8/26,21.8,8,1
2019/8/27,24.3,8,1
2019/8/28,25.7,8,1
2019/8/29,25.3,8,1
2019/8/30,25.6,8,1
2019/8/31,24.5,8,1
2019/9/1,22.5,8,1
2019/9/2,25.0,8,1
2019/9/3,27.5,8,1
2019/9/4,27.2,8,1
2019/9/5,28.4,8,1
2019/9/6,29.8,8,1
2019/9/7,29.3,8,1
2019/9/8,28.9,8,1
2019/9/9,30.0,8,1
2019/9/10,29.2,8,1
2019/9/11,29.5,8,1
2019/9/12,27.7,8,1
2019/9/13,26.9,8,1
2019/9/14,28.0,8,1
2019/9/15,27.6,8,1
2019/9/16,26.2,8,1
2019/9/17,25.9,8,1
2019/9/18,25.5,8,1
2019/9/19,24.0,8,1
2019/9/20,19.9,8,1
2019/9/21,22.5,8,1
2019/9/22,24.7,8,1
2019/9/23,20.8,8,1
2019/9/24,22.4,8,1
2019/9/25,21.9,8,1
2019/9/26,23.0,8,1
2019/9/27,26.0,8,1
2019/9/28,26.3,8,1
2019/9/29,24.9,8,1
2019/9/30,25.1,8,1
2019/10/1,25.0,8,1
2019/10/2,27.1,8,1
2019/10/3,26.4,8,1
2019/10/4,24.6,8,1
2019/10/5,23.7,8,1
2019/10/6,22.3,8,1
2019/10/7,23.1,8,1
2019/10/8,21.4,8,1
2019/10/9,20.3,8,1
2019/10/10,20.7,8,1
2019/10/11,22.0,8,1
2019/10/12,22.0,8,1
2019/10/13,20.5,8,1
2019/10/14,19.7,8,1
2019/10/15,18.7,8,1
2019/10/16,17.6,8,1
2019/10/17,16.7,8,1
2019/10/18,18.6,8,1
2019/10/19,20.7,8,1
2019/10/20,19.9,8,1
2019/10/21,19.6,8,1
2019/10/22,20.1,8,1
2019/10/23,19.9,8,1
2019/10/24,18.1,8,1
2019/10/25,20.1,8,1
2019/10/26,19.5,8,1
2019/10/27,17.7,8,1
2019/10/28,16.8,8,1
2019/10/29,18.8,8,1
2019/10/30,17.7,8,1
2019/10/31,17.0,8,1
2019/11/1,17.8,8,1
2019/11/2,18.0,8,1
2019/11/3,17.6,8,1
2019/11/4,16.5,8,1
2019/11/5,14.8,8,1
2019/11/6,15.2,8,1
2019/11/7,15.7,8,1
2019/11/8,16.0,8,1
2019/11/9,15.8,8,1
2019/11/10,15.7,8,1
2019/11/11,17.4,8,1
2019/11/12,16.3,8,1
2019/11/13,17.0,8,1
2019/11/14,13.4,8,1
2019/11/15,11.3,8,1
2019/11/16,13.9,8,1
2019/11/17,16.2,8,1
2019/11/18,17.7,8,1
2019/11/19,12.4,8,1
2019/11/20,11.2,8,1
2019/11/21,11.6,8,1
2019/11/22,13.2,8,1
2019/11/23,14.9,8,1
2019/11/24,17.5,8,1
2019/11/25,17.1,8,1
2019/11/26,14.5,8,1
2019/11/27,14.1,8,1
2019/11/28,12.3,8,1
2019/11/29,10.4,8,1
2019/11/30,11.2,8,1
2019/12/1,14.6,8,1
2019/12/2,12.8,8,1
2019/12/3,8.4,8,1
2019/12/4,10.4,8,1
2019/12/5,9.4,8,1
2019/12/6,7.7,8,1
2019/12/7,8.1,8,1
2019/12/8,8.5,8,1
2019/12/9,8.9,8,1
2019/12/10,11.4,8,1
2019/12/11,12.3,8,1
2019/12/12,10.0,8,1
2019/12/13,8.4,8,1
2019/12/14,11.3,8,1
2019/12/15,10.7,8,1
2019/12/16,11.6,8,1
2019/12/17,15.4,5,1
2019/12/18,14.3,8,1
2019/12/19,12.3,8,1
2019/12/20,10.1,8,1
2019/12/21,9.6,8,1
2019/12/22,8.2,8,1
2019/12/23,9.1,8,1
2019/12/24,9.2,8,1
2019/12/25,9.4,8,1
2019/12/26,12.0,8,1
2019/12/27,8.1,8,1
2019/12/28,7.1,8,1
2019/12/29,9.4,8,1
2019/12/30,14.4,8,1
2019/12/31,7.3,8,1
